mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
39	39	305/2	305/2	0.5	1/8	1/8	4/4	2	1	IV6		E	bIII		IV6	IV		6					M	0	0	3, 0, -1		-1	3
39	39	153	153	2.0	1/4	1/4	4/4	2	1	I		E	bIII		I	I							M	0	0	0, 4, 1		0	0
39	39	155	155	1.0	3/4	3/4	4/4	2	1	iv.V		E	iv		V	V							M	0	1	1, 5, 2		1	1
40	40	156	156	3.0	0	0	4/4	2	1	viio43/V		E	iv		viio43/V	vii	o	43		V			o7	0	1	0, -3, 6, 3		6	0
40	40	159	159	1.0	3/4	3/4	4/4	2	1	V		E	iv		V	V							M	0	1	1, 5, 2		1	1
41	41	160	160	3.0	0	0	4/4	2	1	viio43/V		E	iv		viio43/V	vii	o	43		V			o7	0	1	0, -3, 6, 3		6	0
41	41	163	163	1.0	3/4	3/4	4/4	2	1	V		E	iv		V	V							M	0	1	1, 5, 2		1	1
42	42	164	164	2.0	0	0	4/4	2	1	i}{		E	iv		i	i						}{	m	0	1	0, -3, 1		0	0
42	42	166	166	1.0	1/2	1/2	4/4	2	1	bIII.V7		E	bIII		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
42	42	167	167	0.5	3/4	3/4	4/4	2	1	I		E	bIII		I	I							M	0	0	0, 4, 1		0	0
42	42	335/2	335/2	0.5	7/8	7/8	4/4	2	1	I6		E	bIII		I6	I		6					M	0	0	4, 1, 0		0	4
43	43	168	168	0.5	0	0	4/4	2	1	IV		E	bIII		IV	IV							M	0	0	-1, 3, 0		-1	-1
43	43	337/2	337/2	0.5	1/8	1/8	4/4	2	1	IV6		E	bIII		IV6	IV		6					M	0	0	3, 0, -1		-1	3
43	43	169	169	2.0	1/4	1/4	4/4	2	1	I		E	bIII		I	I							M	0	0	0, 4, 1		0	0
43	43	171	171	1.0	3/4	3/4	4/4	2	1	v.ii%43		E	v		ii%43	ii	%	43					%7	0	1	-4, 0, 2, -1		2	-4
44	44	172	172	3.0	0	0	4/4	2	1	V(64)		E	v		V(64)	V			64				M	0	1	1, 0, -3		1	1
44	44	175	175	1.0	3/4	3/4	4/4	2	1	ii%43		E	v		ii%43	ii	%	43					%7	0	1	-4, 0, 2, -1		2	-4
45	45	176	176	3.0	0	0	4/4	2	1	V(64)		E	v		V(64)	V			64				M	0	1	1, 0, -3		1	1
45	45	179	179	1.0	3/4	3/4	4/4	2	1	ii%43		E	v		ii%43	ii	%	43					%7	0	1	-4, 0, 2, -1		2	-4
46	46	180	180	4.0	0	0	4/4	2	1	I.V64		E	I		V64	V		64					M	0	0	2, 1, 5		1	2
47	47	184	184	6.0	0	0	4/4	2	1	V7		E	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
48	48	190	190	2.0	1/2	1/2	4/4	2	1	V65		E	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
49	49	192	192	8.0	0	0	4/4	2	1	V43|HC}		E	I		V43	V		43			HC	}	Mm7	0	0	2, -1, 1, 5		1	2
51	51	200	200	4.0	0	0	4/4	2	1	I[I{		E	I	I	I	I						{	M	0	0	0, 4, 1		0	0
52	52	204	204	4.0	0	0	4/4	2	1	I(+6)		E	I	I	I(+6)	I			+6				M	0	0	0, 4, 1	3	0	0
53	53	208	208	1.0	0	0	4/4	2	1	V43		E	I	I	V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
53	53	209	209	2.5	1/4	1/4	4/4	2	1	V43(+2)		E	I	I	V43(+2)	V		43	+2				Mm7	0	0	2, -1, 1, 5	3	1	2
53	53	423/2	423/2	0.5	7/8	7/8	4/4	2	1	V43		E	I	I	V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
54	54	212	212	8.0	0	0	4/4	2	1	I}		E	I	I	I	I						}	M	0	0	0, 4, 1		0	0
54	54	215	215	0.0	3/4	3/4	4/4	2	1	{		E	I	I								{		0	0				
